Tier,ServiceType,ServiceType1,DeviceType,DeviceModel,ServiceCategory,ServiceCategory1,IDF
Tier 1A,Firewall,firewall,FIREWALL A,PAN 3250,NetOps Services,net_ops,No
Tier 1B,Firewall,firewall,FIREWALL A,PAN 3250,NetOps Services,net_ops,No
Tier 1C,Firewall,firewall,FIREWALL A,PAN 3220,NetOps Services,net_ops,No
Tier 2A,Firewall,firewall,FIREWALL A,PAN 3250,NetOps Services,net_ops,No
Tier 2B,Firewall,firewall,FIREWALL A,PAN 850,NetOps Services,net_ops,No
Tier 1A,LAN-WLAN,lan_wlan,Console Switch,Avocent ACS8048MDAC-400,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,Console Switch,Avocent ACS8048MDAC-400,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,Console Switch,Avocent ACS8048MDAC-400,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,Console Switch,Avocent ACS8048MDAC-400,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,Console Switch,Avocent ACS8048MDAC-400,NetOps Services,net_ops,Yes
Tier 1A,Network Services,network_services,ClearPass License VM,HPE Aruba ClearPass JZ399AAE,Net-Auth Services,net_auth,No
Tier 1B,Network Services,network_services,ClearPass License VM,HPE Aruba ClearPass JZ399AAE,Net-Auth Services,net_auth,No
Tier 1C,Network Services,network_services,ClearPass License VM,HPE Aruba ClearPass JZ399AAE,Net-Auth Services,net_auth,No
Tier 1A,Network Services,network_services,ClearPass License 5000,HPE Aruba ClearPass JZ403AAE,Net-Auth Services,net_auth,No
Tier 1B,Network Services,network_services,ClearPass License 5000,HPE Aruba ClearPass JZ403AAE,Net-Auth Services,net_auth,No
Tier 1C,Network Services,network_services,ClearPass License 5000,HPE Aruba ClearPass JZ403AAE,Net-Auth Services,net_auth,No
Tier 1A,LAN-WLAN,lan_wlan,AV Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1B,LAN-WLAN,lan_wlan,AV Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 1C,LAN-WLAN,lan_wlan,AV Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2A,LAN-WLAN,lan_wlan,AV Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
Tier 2B,LAN-WLAN,lan_wlan,AV Switch,Cisco C9300-48UN-E,NetOps Services,net_ops,Yes
